threshold,sensitivity,specificity,precision,f1
0.75,0.42857142857142855,0.9465648854961832,0.42857142857142855,0.42857142857142855
0.76,0.3877551020408163,0.9599236641221374,0.475,0.42696629213483145
0.77,0.3673469387755102,0.9599236641221374,0.46153846153846156,0.4090909090909091
0.78,0.3469387755102041,0.9656488549618321,0.4857142857142857,0.40476190476190477
0.79,0.32653061224489793,0.9675572519083969,0.48484848484848486,0.3902439024390244
0.8,0.2857142857142857,0.9694656488549618,0.4666666666666667,0.35443037974683544
0.81,0.2857142857142857,0.9713740458015268,0.4827586206896552,0.358974358974359
0.8200000000000001,0.24489795918367346,0.9751908396946565,0.48,0.32432432432432434
0.8300000000000001,0.24489795918367346,0.9790076335877863,0.5217391304347826,0.3333333333333333
0.84,0.20408163265306123,0.9790076335877863,0.47619047619047616,0.2857142857142857
0.85,0.14285714285714285,0.9809160305343512,0.4117647058823529,0.21212121212121213
0.86,0.10204081632653061,0.982824427480916,0.35714285714285715,0.15873015873015872
0.87,0.08163265306122448,0.982824427480916,0.3076923076923077,0.12903225806451613
0.88,0.08163265306122448,0.982824427480916,0.3076923076923077,0.12903225806451613
0.89,0.08163265306122448,0.9847328244274809,0.3333333333333333,0.13114754098360656
0.9,0.08163265306122448,0.9904580152671756,0.4444444444444444,0.13793103448275862
0.91,0.061224489795918366,0.9942748091603053,0.5,0.10909090909090909
0.92,0.061224489795918366,0.9961832061068703,0.6,0.1111111111111111
0.93,0.02040816326530612,0.9961832061068703,0.3333333333333333,0.038461538461538464
0.9400000000000001,0.0,1.0,0.0,0.0
0.9500000000000001,0.0,1.0,0.0,0.0
0.96,0.0,1.0,0.0,0.0
0.97,0.0,1.0,0.0,0.0
0.98,0.0,1.0,0.0,0.0
0.99,0.0,1.0,0.0,0.0
